,Área,Vaga,Nível,Contrato,Salário Base,Salário Máximo
0,Full-stack,Desenvolvedor(a) Full-stack PHP pleno,Junior - Pleno(2 a 4 anos de experiência),,,
1,Data Science,Engenheiro(a) de Dados Python,Pleno - Senior(4 a 6 anos de experiência),CLT," 11.100,00 "," 13.000,00"
2,Back-end,Desenvolvedor(a) C# pleno,Junior - Pleno(2 a 4 anos de experiência),,,
3,Data Science,Programador (a) de Dados Júnior / Pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 3.000,00 "," 5.000,00"
4,Front-end,Desenvolvedor(a) Front-end React (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 9.700,00 "," 11.700,00"
5,Back-end,Desenvolvedor(a) Back-end Java (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 13.000,00 "," 15.000,00"
6,Full-stack,Desenvolvedor(a) PHP DMAT_11,Junior - Pleno(2 a 4 anos de experiência),CLT," 4.700,00 "," 6.700,00"
7,Front-end,Desenvolvedor(a) Angular,Junior - Pleno(2 a 4 anos de experiência),,,
8,Front-end,Desenvolvedor(a) Front-end HTML5 (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 3.000,00 "," 5.000,00"
9,Back-end,Desenvolvedor(a) Back-end PHP,Pleno - Senior(4 a 6 anos de experiência),CLT," 12.500,00 "," 14.500,00"
10,Front-end,Tech Lead,Junior - Pleno(2 a 4 anos de experiência),CLT," 9.500,00 "," 10.000,00"
11,Front-end,Desenvolvedor(a) Front-end Angular pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 7.000,00 "," 9.000,00"
12,Data Science,Cientista de Dados pleno R (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 5.500,00 "," 7.400,00"
13,Back-end,Desenvolvedor(a) sênior Back-end Java (remoto),Senior(Mais de 6 anos de experiência),,,
14,Full-stack,Desenvolvedor(a) Full-stack pleno,Junior - Pleno(2 a 4 anos de experiência),,,
15,Back-end,Desenvolvedor(a) Node.js júnior,Junior(0 a 2 anos de experiência),,,
16,Back-end,Tech Lead - C#,Pleno - Senior(4 a 6 anos de experiência),,,
17,Full-stack,Desenvolvedor(a) Full-stack WordPress júnior (remoto),Junior(0 a 2 anos de experiência),PJ," 2.000,00 "," 4.000,00"
18,Back-end,Desenvolvedor(a) Back-end pleno .NET BJF_18238,Junior - Pleno(2 a 4 anos de experiência),,,
19,Back-end,Desenvolvedor(a) Node.js pleno,Junior - Pleno(2 a 4 anos de experiência),,,
20,Mobile,Desenvolvedor(a) Mobile iOS,Junior - Pleno(2 a 4 anos de experiência),,,
21,Mobile,Desenvolvedor(a) Mobile Flutter pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
22,Full-stack,Desenvolvedor(a) Full-stack,Junior - Pleno(2 a 4 anos de experiência),CLT," 7.000,00 "," 9.000,00"
23,Back-end,Desenvolvedor(a) Back-end Ruby on Rails pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 6.500,00 "," 7.500,00"
24,Front-end,Desenvolvedor(a) Front-end júnior,Junior(0 a 2 anos de experiência),PJ," 4.500,00 "," 5.000,00"
25,Full-stack,Desenvolvedor(a) Full-stack pleno,Junior - Pleno(2 a 4 anos de experiência),PJ," 4.900,00 "," 6.000,00"
26,Front-end,Desenvolvedor(a) Front-end Angular (39),Junior - Pleno(2 a 4 anos de experiência),CLT," 8.300,00 "," 10.000,00"
27,Back-end,Desenvolvedor(a) Back-end C# (remoto) (39),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.500,00 "," 10.000,00"
28,Full-stack,"Desenvolvedor Full-Stack Senior Python, Django, Node.js, React.js (remoto)",Senior(Mais de 6 anos de experiência),PJ," 13.000,00 "," 15.000,00"
29,Back-end,Desenvolvedor(a) Back-end sênior Java (remoto),Senior(Mais de 6 anos de experiência),PJ," 12.000,00 "," 14.000,00"
30,Mobile,Desenvolvedor(a) Flutter (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 10.000,00 "," 12.000,00"
31,Mobile,Desenvolvedor(a) Mobile Flutter pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 4.500,00 "," 6.500,00"
32,Full-stack,Desenvolvedor(a) Full-stack pleno Node.js (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
33,Full-stack,Desenvolvedor(a) Full-stack pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.900,00 "," 7.900,00"
34,Back-end,Desenvolvedor(a) Back-end Java,Junior - Pleno(2 a 4 anos de experiência),CLT," 8.000,00 "," 10.000,00"
35,Back-end,Desenvolvedor(a) sênior Back-end Python (remoto),Senior(Mais de 6 anos de experiência),PJ," 14.600,00 "," 16.600,00"
36,Front-end,Desenvolvedor(a) Front-end React sênior (remoto),Senior(Mais de 6 anos de experiência),PJ," 12.000,00 "," 14.000,00"
37,Full-stack,Desenvolvedor Full-Stack Senior React.js Node.js (remoto),Senior(Mais de 6 anos de experiência),PJ," 12.500,00 "," 14.000,00"
38,Mobile,Desenvolvedor(a) Mobile,Junior - Pleno(2 a 4 anos de experiência),,,
39,Back-end,Desenvolvedor(a) Back-end,Pleno - Senior(4 a 6 anos de experiência),,,
40,Data Science,Engenheiro(a) de Dados pleno (remoto) Python,Junior - Pleno(2 a 4 anos de experiência),,,
41,Front-end,Desenvolvedor(a) Front-end React (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
42,Front-end,Desenvolvedor(a) Front-end (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
43,Full-stack,Desenvolvedor(a) Full-stack Node.js (remoto),Junior(0 a 2 anos de experiência),,,
44,Front-end,Desenvolvedor(a) Front-end .NET Core,Junior - Pleno(2 a 4 anos de experiência),,,
45,Back-end,Desenvolvedor(a) Back-end Node.js Sênior (Remoto),Pleno - Senior(4 a 6 anos de experiência),,,
46,Back-end,Desenvolvedor(a) Back-end Node.js pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
47,Back-end,Desenvolvedor(a) Back-end Ruby on Rails Pleno (Remoto),Junior - Pleno(2 a 4 anos de experiência),,,
48,Front-end,Desenvolvedor(a) Front-end (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
49,Full-stack,Desenvolvedor(a) Full-stack .NET pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 8.000,00 "," 10.000,00"
50,Back-end,Desenvolvedor(a) Back-end Python (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
51,Back-end,Desenvolvedor(a) Java (remoto) (35),Junior - Pleno(2 a 4 anos de experiência),,,
52,Mobile,Desenvolvedor(a) Flutter,Junior - Pleno(2 a 4 anos de experiência),,,
53,Back-end,Desenvolvedor(a) Back-end Node.js,Pleno - Senior(4 a 6 anos de experiência),,,
54,Front-end,Desenvolvedor(a) Front-end (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
55,Data Science,Analista de Dados pleno Python,Junior - Pleno(2 a 4 anos de experiência),CLT," 3.500,00 "," 5.000,00"
56,Full-stack,Desenvolvedor(a) Full-stack júnior,Junior(0 a 2 anos de experiência),CLT," 6.000,00 "," 8.000,00"
57,Back-end,Desenvolvedor(a) Back-end Java (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
58,Mobile,Desenvolvedor(a) Mobile React Native (Remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 6.000,00 "," 8.000,00"
59,Full-stack,Desenvolvedor(a) Full-stack pleno,Pleno - Senior(4 a 6 anos de experiência),,,
60,Full-stack,Desenvolvedor(a) Full-stack,Junior - Pleno(2 a 4 anos de experiência),CLT," 5.500,00 "," 7.500,00"
61,Full-stack,Desenvolvedor(a) Full-stack,Junior(0 a 2 anos de experiência),CLT," 3.500,00 "," 5.500,00"
62,Full-stack,Desenvolvedor(a) Full-stack pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 8.000,00 "," 9.000,00"
63,Data Science,Machine Learning Engineer,Pleno - Senior(4 a 6 anos de experiência),,,
64,Full-stack,Desenvolvedor(a) Full-stack Spring,Senior(Mais de 6 anos de experiência),PJ," 20.000,00 "," 22.000,00"
65,Full-stack,Desenvolvedor(a) PHP pleno Full-stack,Pleno - Senior(4 a 6 anos de experiência),PJ," 3.500,00 "," 4.500,00"
66,Front-end,Desenvolvedor(a) Front-end Ionic,Junior - Pleno(2 a 4 anos de experiência),CLT," 8.000,00 "," 9.500,00"
67,Full-stack,Desenvolvedor(a) Full-stack React (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 10.000,00 "," 12.000,00"
68,Data Science,Engenheiro(a) de Dados ETL (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 5.600,00 "," 7.000,00"
69,Back-end,Analista de Sistemas Pleno,Pleno - Senior(4 a 6 anos de experiência),,,
70,Full-stack,Desenvolvedor(a) Full-stack pleno,Pleno - Senior(4 a 6 anos de experiência),PJ," 9.000,00 "," 11.000,00"
71,Back-end,Desenvolvedor(a) .NET pleno Back-end,Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 5.000,00"
72,Full-stack,Desenvolvedor(a) pleno JAVA EE Full-stack,Junior - Pleno(2 a 4 anos de experiência),CLT," 6.000,00 "," 7.000,00"
73,Front-end,Desenvolvedor(a) Front-end React sênior (remoto),Senior(Mais de 6 anos de experiência),,,
74,Front-end,Desenvolvedor(a) Front-end React sênior (remoto),Senior(Mais de 6 anos de experiência),,,
75,Data Science,Líder Técnico (remoto) sênior,Senior(Mais de 6 anos de experiência),CLT," 12.900,00 "," 14.894,00"
76,Data Science,Líder de Projetos (remoto),Senior(Mais de 6 anos de experiência),CLT," 9.100,00 "," 10.500,00"
77,Full-stack,Desenvolvedor(a) SAP (remoto) pleno,Junior - Pleno(2 a 4 anos de experiência),,,
78,Back-end,Desenvolvedor(a) Back-end .NET,Junior - Pleno(2 a 4 anos de experiência),,,
79,Front-end,Desenvolvedor(a) Front-end Flutter,Junior - Pleno(2 a 4 anos de experiência),,,
80,Front-end,Desenvolvedor(a) Front-end Angular 8 Pleno (Remoto),Junior - Pleno(2 a 4 anos de experiência),,,
81,Back-end,Desenvolvedor(a) Back-end Java Pleno,Junior - Pleno(2 a 4 anos de experiência),,,
82,Front-end,Desenvolvedor(a) Delphi pleno,Junior - Pleno(2 a 4 anos de experiência),,,
83,Back-end,Desenvolvedor(a) Back-end pleno Java,Pleno - Senior(4 a 6 anos de experiência),,,
84,Back-end,Desenvolvedor(a) Back-end pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 10.000,00 "," 12.000,00"
85,Full-stack,Desenvolvedor(a) Full-stack C# Sênior,Senior(Mais de 6 anos de experiência),CLT," 6.000,00 "," 8.000,00"
86,Back-end,Desenvolvedor(a) Back-end júnior Python,Junior(0 a 2 anos de experiência),CLT," 3.500,00 "," 4.000,00"
87,Full-stack,Desenvolvedor(a) Full-stack Java Sênior,Senior(Mais de 6 anos de experiência),CLT," 6.000,00 "," 8.000,00"
88,Data Science,Analista de Dados SQL (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
89,Full-stack,Desenvolvedor(a) PHP Full-stack,Pleno - Senior(4 a 6 anos de experiência),,,
90,Full-stack,Desenvolvedor(a) Full-stack pleno HTML5 (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 9.000,00 "," 10.000,00"
91,Full-stack,Desenvolvedor(a) Full-stack júnior,Junior(0 a 2 anos de experiência),,,
92,Front-end,Desenvolvedor(a) Front-end React,Junior - Pleno(2 a 4 anos de experiência),,,
93,Full-stack,Desenvolvedor(a) sênior (remoto) Full-stack,Senior(Mais de 6 anos de experiência),,,
94,Back-end,Desenvolvedor(a) Back-end Ruby on Rails Sênior (Remoto),Pleno - Senior(4 a 6 anos de experiência),,,
95,Front-end,Desenvolvedor(a) Front-end Vue.js,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.600,00 "," 8.600,00"
96,Back-end,Junior Scraping Developer,Junior - Pleno(2 a 4 anos de experiência),,,
97,Front-end,Desenvolvedor(a) Front-end React Sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 12.000,00 "," 14.000,00"
98,Back-end,Desenvolvedor(a) Back-end Java,Pleno - Senior(4 a 6 anos de experiência),,,
99,Full-stack,Desenvolvedor(a) Full-stack,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.200,00 "," 8.200,00"
100,Mobile,Desenvolvedor(a) Mobile pleno,Pleno - Senior(4 a 6 anos de experiência),,,
101,Full-stack,Senior Game Porting Programmer,Senior(Mais de 6 anos de experiência),CLT," 10.000,00 "," 11.000,00"
102,Mobile,Desenvolvedor(a) Mobile React Native Sênior (Remoto),Senior(Mais de 6 anos de experiência),PJ," 15.000,00 "," 16.500,00"
103,Full-stack,Desenvolvedor(a) SQL,Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 7.000,00"
104,Back-end,Desenvolvedor(a) Back-end .NET (Remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.700,00 "," 9.900,00"
105,Front-end,Desenvolvedor(a) React (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
106,Back-end,Desenvolvedor(a) Back-end Python sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 10.900,00 "," 12.000,00"
107,Full-stack,Desenvolvedor(a) Full-stack Java,Pleno - Senior(4 a 6 anos de experiência),CLT," 11.000,00 "," 13.000,00"
108,Front-end,Desenvolvedor(a) Front-end Angular (Remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 7.000,00 "," 8.500,00"
109,Front-end,Desenvolvedor(a) Front-end Angular,Junior - Pleno(2 a 4 anos de experiência),,,
110,Full-stack,Desenvolvedor(a) Full-stack JavaScript,Pleno - Senior(4 a 6 anos de experiência),,,
111,Back-end,Scraping Engineer Mid and Sr level,Pleno - Senior(4 a 6 anos de experiência),,,
112,Data Science,Engenheiro(a) de Dados SQL (remoto),Junior(0 a 2 anos de experiência),PJ," 4.500,00 "," 6.500,00"
113,Front-end,Desenvolvedor(a) Front-end React Native sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 12.100,00 "," 12.100,00"
114,Mobile,Desenvolvedor(a) Mobile Flutter (Remoto),Junior(0 a 2 anos de experiência),,,
115,Full-stack,Desenvolvedor(a) Full-stack .NET Core,Pleno - Senior(4 a 6 anos de experiência),PJ," 10.000,00 "," 12.000,00"
116,Back-end,Desenvolvedor(a) Back-end Java Sênior (Remoto),Senior(Mais de 6 anos de experiência),,,
117,Back-end,Desenvolvedor(a) Swift (iOS) sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 10.000,00 "," 12.000,00"
118,Mobile,Desenvolvedor(a) Android Sênior (remoto),Senior(Mais de 6 anos de experiência),,,
119,Front-end,Desenvolvedor(a) Front-end Angular (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 4.000,00 "," 6.000,00"
120,Full-stack,Desenvolvedor(a) Delphi Full-stack (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 4.000,00 "," 4.600,00"
121,Full-stack,Desenvolvedor(a) Full-stack pleno Unity,Junior - Pleno(2 a 4 anos de experiência),,,
122,Data Science,Analista de BI,Pleno - Senior(4 a 6 anos de experiência),,,
123,Back-end,Desenvolvedor(a) Back-end Python,Pleno - Senior(4 a 6 anos de experiência),,,
124,Back-end,Desenvolvedor(a) ASP.NET pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 4.400,00 "," 6.400,00"
125,Back-end,Engenheiro de Infra Estrutura Híbrida - AWS,Senior(Mais de 6 anos de experiência),,,
126,Back-end,Desenvolvedor(a) pleno JUnit (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
127,Back-end,Desenvolvedor(a) Back-end .NET Core júnior BJF_18002,Junior(0 a 2 anos de experiência),,,
128,Full-stack,Desenvolvedor(a) Full-stack sênior C# - Nível 1,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.000,00 "," 8.000,00"
129,Full-stack,Desenvolvedor(a) Full-stack pleno C# - Nível 1,Junior - Pleno(2 a 4 anos de experiência),CLT," 3.500,00 "," 5.500,00"
130,Full-stack,Desenvolvedor(a) Java,Junior - Pleno(2 a 4 anos de experiência),CLT," 10.000,00 "," 10.000,00"
131,Front-end,Desenvolvedor(a) Front-end React (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.200,00 "," 7.200,00"
132,Full-stack,Tech Lead (remoto),Senior(Mais de 6 anos de experiência),CLT," 15.000,00 "," 17.000,00"
133,Front-end,Desenvolvedor(a) Front-end React,Pleno - Senior(4 a 6 anos de experiência),,,
134,Front-end,Desenvolvedor(a) Front-end pleno React,Junior - Pleno(2 a 4 anos de experiência),,,
135,Full-stack,Analista de Sistemas,Pleno - Senior(4 a 6 anos de experiência),,,
136,Back-end,Desenvolvedor(a) Back-end Java júnior (remoto),Junior(0 a 2 anos de experiência),CLT," 4.500,00 "," 6.500,00"
137,Back-end,Desenvolvedor(a) Back-end Java pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.100,00 "," 9.000,00"
138,Mobile,Desenvolvedor(a) Mobile Kotlin (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
139,Full-stack,Desenvolvedor(a) SAP,Junior - Pleno(2 a 4 anos de experiência),CLT," 10.700,00 "," 12.700,00"
140,Back-end,Desenvolvedor(a) Java sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 12.000,00 "," 14.000,00"
141,Full-stack,Desenvolvedor(a) Full-stack .NET Core,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
142,Front-end,Desenvolvedor(a) Front-end AngularJS (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
143,Back-end,Desenvolvedor(a) Back-end Java sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 11.300,00 "," 12.000,00"
144,Full-stack,Líder Técnico,Junior - Pleno(2 a 4 anos de experiência),CLT," 8.500,00 "," 10.500,00"
145,Full-stack,Desenvolvedor(a) C# Full-stack (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 8.000,00 "," 10.000,00"
146,Back-end,Senior Engineering Manager - Data Engineering,Pleno - Senior(4 a 6 anos de experiência),,,
147,Data Science,Engenheiro(a) de Dados (remoto) SQL pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 11.500,00 "," 13.500,00"
148,Back-end,Desenvolvedor(a) Back-end sênior JAVA EE (remoto),Senior(Mais de 6 anos de experiência),CLT," 6.000,00 "," 8.000,00"
149,Full-stack,Desenvolvedor(a) Full-stack Java,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.500,00 "," 10.500,00"
150,Back-end,Desenvolvedor(a) Back-end .NET,Pleno - Senior(4 a 6 anos de experiência),,,
151,Front-end,Desenvolvedor(a) Front-end JavaScript,Pleno - Senior(4 a 6 anos de experiência),,,
152,Data Science,Engenheiro(a) de Dados Data science (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
153,Front-end,Desenvolvedor(a) Front-end React (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 5.000,00 "," 7.000,00"
154,Full-stack,Desenvolvedor(a) Full-stack .NET (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 7.500,00 "," 9.500,00"
155,Full-stack,Desenvolvedor(a) Full-stack sênior (remoto),Senior(Mais de 6 anos de experiência),,,
156,Back-end,Desenvolvedor(a) PHP pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 8.000,00 "," 10.000,00"
157,Full-stack,Desenvolvedor(a) Full-stack sênior,Senior(Mais de 6 anos de experiência),,,
158,Back-end,Desenvolvedor(a) Back-end pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 6.000,00"
159,Front-end,Desenvolvedor(a) Front-end pleno React,Junior - Pleno(2 a 4 anos de experiência),,,
160,Full-stack,Desenvolvedor(a) Full-stack Ruby on Rails júnior (remoto),Junior(0 a 2 anos de experiência),,,
161,Mobile,Desenvolvedor(a) Mobile React (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
162,Back-end,Desenvolvedor(a) Java Back-end sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 10.000,00 "," 12.000,00"
163,Back-end,Desenvolvedor(a) Java Back-end pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
164,Back-end,Desenvolvedor(a) Back-end pleno Java (13),Junior - Pleno(2 a 4 anos de experiência),,,
165,Front-end,Desenvolvedor(a) Front-end .NET,Pleno - Senior(4 a 6 anos de experiência),,,
166,Back-end,Desenvolvedor(a) Back-end Node.js Pleno (Remoto),Pleno - Senior(4 a 6 anos de experiência),,,
167,Front-end,Desenvolvedor(a) Front-end React Sênior (Remoto),Senior(Mais de 6 anos de experiência),CLT," 12.000,00 "," 12.000,00"
168,Back-end,Desenvolvedor(a) Back-end .NET Pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.200,00 "," 7.000,00"
169,Mobile,Desenvolvedor(a) Mobile Swift (iOS) (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
170,Full-stack,Desenvolvedor(a) Full-stack júnior Node.js (remoto),Junior(0 a 2 anos de experiência),CLT," 2.600,00 "," 3.400,00"
171,Full-stack,Desenvolvedor(a) Full-stack,Junior(0 a 2 anos de experiência),,,
172,Full-stack,Desenvolvedor(a) Full-stack,Junior - Pleno(2 a 4 anos de experiência),CLT," 11.000,00 "," 13.000,00"
173,Mobile,Desenvolvedor(a) React Native,Junior - Pleno(2 a 4 anos de experiência),,,
174,Back-end,Analista de Qualidade (QA),Junior - Pleno(2 a 4 anos de experiência),,,
175,Front-end,Desenvolvedor(a) Front-end React,Junior(0 a 2 anos de experiência),CLT," 3.000,00 "," 5.000,00"
176,Back-end,Desenvolvedor(a) Back-end Node.js,Junior(0 a 2 anos de experiência),,,
177,Full-stack,Desenvolvedor(a) Full-stack Node.js Sênior,Senior(Mais de 6 anos de experiência),CLT," 9.500,00 "," 11.500,00"
178,Mobile,Desenvolvedor(a) Mobile Flutter,Junior - Pleno(2 a 4 anos de experiência),,,
179,Back-end,Desenvolvedor(a) Python pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
180,Full-stack,Desenvolvedor(a) Full-stack pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.000,00 "," 8.000,00"
181,Full-stack,"Desenvolvedor(a) Full-stack Java, Angular e Swing Pleno (remoto) 15554",Pleno - Senior(4 a 6 anos de experiência),,,
182,Full-stack,Desenvolvedor(a) Full-stack sênior Java (remoto),Senior(Mais de 6 anos de experiência),,,
183,Front-end,Desenvolvedor(a) Front-end JavaScript (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 7.000,00"
184,Full-stack,Desenvolvedor(a) Xamarin,Junior - Pleno(2 a 4 anos de experiência),CLT," 6.600,00 "," 8.600,00"
185,Full-stack,Desenvolvedor(a) Full-stack C# júnior,Junior(0 a 2 anos de experiência),CLT," 2.500,00 "," 4.000,00"
186,Full-stack,Desenvolvedor(a) Full-stack C# Pleno,Junior - Pleno(2 a 4 anos de experiência),,,
187,Front-end,Desenvolvedor(a) React sênior,Senior(Mais de 6 anos de experiência),,,
188,Full-stack,Desenvolvedor(a) Full-stack,Pleno - Senior(4 a 6 anos de experiência),CLT," 7.000,00 "," 9.000,00"
189,Data Science,Cientista de Dados Python Pleno (Remoto),Junior - Pleno(2 a 4 anos de experiência),,,
