,Área,Vaga,Nível,Contrato,Salário Base,Salário Máximo
190,Mobile,Desenvolvedor(a) Mobile React Native,Junior - Pleno(2 a 4 anos de experiência),CLT," 5.000,00 "," 7.000,00"
191,Front-end,Desenvolvedor(a) AngularJS,Junior - Pleno(2 a 4 anos de experiência),,,
192,Back-end,Desenvolvedor(a) AWS (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.300,00 "," 10.300,00"
193,Front-end,Desenvolvedor(a) Front-end JavaScript (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.500,00 "," 10.300,00"
194,Front-end,Application Architect-Java (remoto),Senior(Mais de 6 anos de experiência),CLT," 12.700,00 "," 14.700,00"
195,Full-stack,Desenvolvedor(a) Full-stack sênior,Senior(Mais de 6 anos de experiência),,,
196,Front-end,Desenvolvedor(a) Front-end React Native Pleno (Remoto),Junior - Pleno(2 a 4 anos de experiência),,,
197,Front-end,Desenvolvedor(a) Front-end React (Remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 4.000,00 "," 6.000,00"
198,Back-end,Desenvolvedor(a) Back-end Java,Pleno - Senior(4 a 6 anos de experiência),,,
199,Back-end,Desenvolvedor(a) ASP.NET Core (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 9.500,00 "," 10.000,00"
200,Back-end,Desenvolvedor(a) Back-end .NET Core pleno (remoto) 15554,Pleno - Senior(4 a 6 anos de experiência),,,
201,Back-end,"Desenvolvedor(a) Back-end Java, Spring boot e Weblogic Pleno (Remoto) 15554",Pleno - Senior(4 a 6 anos de experiência),,,
202,Full-stack,Desenvolvedor(a) Full-stack JavaScript e Angular Sênior (Remoto) 15554,Pleno - Senior(4 a 6 anos de experiência),,,
203,Full-stack,"Desenvolvedor(a) Full-stack Python, React. Js e Django Pleno (Remoto) 15554",Pleno - Senior(4 a 6 anos de experiência),,,
204,Full-stack,Desenvolvedor(a) Full-stack Java e AngularJS Pleno (Remoto) 15554,Pleno - Senior(4 a 6 anos de experiência),,,
205,Full-stack,Analista de Sistemas Java/C# Sr (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 7.600,00 "," 8.000,00"
206,Full-stack,"Desenvolvedor(a) Full-stack JPA, Java FX e Java Swing (Remoto) 15554",Pleno - Senior(4 a 6 anos de experiência),,,
207,Full-stack,Analista de Sistemas Java/C# Pl (Remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 5.600,00 "," 6.600,00"
208,Full-stack,"Desenvolvedor(a) Full-stack Java, Spring boot, Angular e Weblogic Sênior (Remoto) 15554",Pleno - Senior(4 a 6 anos de experiência),,,
209,Back-end,"Desenvolvedor(a) Back-end Java, Grails e Groovy Sênior 15554",Pleno - Senior(4 a 6 anos de experiência),,,
210,Back-end,Desenvolvedor(a) Back-end .NET Sênior 15554,Pleno - Senior(4 a 6 anos de experiência),,,
211,Full-stack,Desenvolvedor(a) Full-stack Java e Angular Senior 15554,Pleno - Senior(4 a 6 anos de experiência),,,
212,Full-stack,Desenvolvedor(a) Full-stack Java Swing Sênior (Remoto) 15554,Pleno - Senior(4 a 6 anos de experiência),,,
213,Full-stack,Analista de Sistemas Java/C# Jr (Remoto),Junior(0 a 2 anos de experiência),CLT," 4.500,00 "," 5.500,00"
214,Back-end,Desenvolvedor(a) Back-end Java 15579,Pleno - Senior(4 a 6 anos de experiência),,,
215,Full-stack,Desenvolvedor(a) Full-stack Java e Angular Pleno (remoto) 15579,Pleno - Senior(4 a 6 anos de experiência),,,
216,Full-stack,Desenvolvedor(a) Full-stack Java e Angular Sênior (remoto) 15579,Pleno - Senior(4 a 6 anos de experiência),,,
217,Back-end,Desenvolvedor(a) AWS,Pleno - Senior(4 a 6 anos de experiência),,,
218,Back-end,Desenvolvedor(a) Back-end .NET Pleno (remoto) 18558,Junior - Pleno(2 a 4 anos de experiência),,,
219,Back-end,Desenvolvedor(a) Front-end Java e Spring Boot Pleno (remoto) 18558,Junior - Pleno(2 a 4 anos de experiência),,,
220,Front-end,Desenvolvedor(a) Front-end,Pleno - Senior(4 a 6 anos de experiência),,,
221,Front-end,Desenvolvedor(a) Front-end Angular Pleno (remoto) 18558,Junior - Pleno(2 a 4 anos de experiência),,,
222,Back-end,Desenvolvedor(a) Back-end Java Pleno (remoto) 18558,Pleno - Senior(4 a 6 anos de experiência),,,
223,Back-end,Desenvolvedor(a) Back-end sênior Django (remoto),Senior(Mais de 6 anos de experiência),,,
224,Full-stack,Desenvolvedor(a) Full-stack Angular e Java Sênior (remoto) 18558,Pleno - Senior(4 a 6 anos de experiência),,,
225,Back-end,Desenvolvedor(a) Back-end Python (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 5.200,00 "," 6.500,00"
226,Front-end,Desenvolvedor(a) Front-end React,Junior - Pleno(2 a 4 anos de experiência),,,
227,Back-end,Desenvolvedor(a) Back-end Go (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 12.000,00 "," 14.000,00"
228,Front-end,Desenvolvedor(a) Front-end pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 3.900,00 "," 4.700,00"
229,Full-stack,Desenvolvedor(a) Full-stack .NET e Angular (remoto) 18325,Pleno - Senior(4 a 6 anos de experiência),,,
230,Full-stack,Desenvolvedor(a) Java Sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 4.500,00 "," 5.500,00"
231,Mobile,Desenvolvedor(a) Swift (iOS) (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
232,Full-stack,Desenvolvedor(a) Java pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 3.500,00 "," 4.500,00"
233,Full-stack,Desenvolvedor(a) C# Sênior (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 4.500,00 "," 5.500,00"
234,Full-stack,Desenvolvedor(a) Full-stack pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 3.000,00 "," 5.000,00"
235,Full-stack,Desenvolvedor(a) C# pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 3.500,00 "," 4.500,00"
236,Back-end,Desenvolvedor(a) Back-end .NET (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
237,Full-stack,Desenvolvedor(a) Apex,Pleno - Senior(4 a 6 anos de experiência),,,
238,Front-end,Desenvolvedor(a) Front-end Angular (remoto) 17908,Pleno - Senior(4 a 6 anos de experiência),,,
239,Back-end,Desenvolvedor(a) Back-end Python (remoto) 17908,Pleno - Senior(4 a 6 anos de experiência),,,
240,Back-end,Desenvolvedor(a) Back-end Java (remoto) 17908,Pleno - Senior(4 a 6 anos de experiência),,,
241,Full-stack,Desenvolvedor(a) Full-stack JavaScript,Pleno - Senior(4 a 6 anos de experiência),,,
242,Full-stack,Desenvolvedor(a) Full-stack React,Pleno - Senior(4 a 6 anos de experiência),PJ," 10.000,00 "," 12.000,00"
243,Back-end,Desenvolvedor(a) Back-end sênior (remoto),Senior(Mais de 6 anos de experiência),,,
244,Front-end,Desenvolvedor(a) Front-end React,Junior - Pleno(2 a 4 anos de experiência),PJ," 5.000,00 "," 7.000,00"
245,Mobile,Desenvolvedor(a) Kotlin pleno Mobile,Pleno - Senior(4 a 6 anos de experiência),PJ," 10.500,00 "," 12.500,00"
246,Data Science,Analista de Dados VBA,Junior - Pleno(2 a 4 anos de experiência),CLT," 4.500,00 "," 5.000,00"
247,Mobile,Desenvolvedor(a) Mobile React Native (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 14.000,00 "," 16.000,00"
248,Full-stack,Desenvolvedor(a) Full-stack .NET Core,Pleno - Senior(4 a 6 anos de experiência),,,
249,Full-stack,Desenvolvedor(a) Full-stack pleno,Pleno - Senior(4 a 6 anos de experiência),,,
250,Full-stack,Desenvolvedor(a) Full-stack pleno,Pleno - Senior(4 a 6 anos de experiência),,,
251,Front-end,Desenvolvedor(a) Front-end Angular (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
252,Back-end,Desenvolvedor(a) C#,Pleno - Senior(4 a 6 anos de experiência),,,
253,Front-end,Desenvolvedor(a) Front-end React (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 12.000,00 "," 14.000,00"
254,Full-stack,Desenvolvedor(a) Full-stack Node.js,Pleno - Senior(4 a 6 anos de experiência),,,
255,Full-stack,Desenvolvedor(a) Java Full-stack (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
256,Back-end,Desenvolvedor(a) C#,Junior - Pleno(2 a 4 anos de experiência),CLT," 4.000,00 "," 6.000,00"
257,Full-stack,Desenvolvedor(a) Full-stack Python pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
258,Full-stack,Desenvolvedor(a) Full-stack (remoto) sênior,Senior(Mais de 6 anos de experiência),PJ," 13.000,00 "," 15.000,00"
259,Back-end,Desenvolvedor(a) Back-end Java (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
260,Full-stack,Desenvolvedor(a) WordPress (remoto) Full-stack,Pleno - Senior(4 a 6 anos de experiência),PJ," 9.400,00 "," 11.000,00"
261,Mobile,Desenvolvedor(a) Full-stack Java (Android),Pleno - Senior(4 a 6 anos de experiência),CLT," 6.700,00 "," 8.500,00"
262,Full-stack,Desenvolvedor(a) (remoto) C#,Pleno - Senior(4 a 6 anos de experiência),CLT," 4.700,00 "," 6.700,00"
263,Front-end,Desenvolvedor(a) Front-end Vue.js (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
264,Full-stack,Desenvolvedor(a) Full-stack pleno .NET (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 16.000,00 "," 18.000,00"
265,Mobile,Desenvolvedor(a) Swift (iOS),Pleno - Senior(4 a 6 anos de experiência),,,
266,Full-stack,Desenvolvedor(a) Azure pleno,Pleno - Senior(4 a 6 anos de experiência),PJ," 16.000,00 "," 16.000,00"
267,Mobile,Desenvolvedor(a) Mobile pleno (remoto) Java (Android),Pleno - Senior(4 a 6 anos de experiência),,,
268,Data Science,Cientista de Dados sênior Machine learning (remoto),Senior(Mais de 6 anos de experiência),PJ," 15.000,00 "," 17.000,00"
269,Full-stack,Desenvolvedor(a) Full-stack PHP (Remoto),Junior(0 a 2 anos de experiência),CLT," 3.400,00 "," 3.900,00"
270,Front-end,Desenvolvedor(a) WordPress pleno,Pleno - Senior(4 a 6 anos de experiência),PJ," 10.000,00 "," 10.000,00"
271,Front-end,Desenvolvedor(a) Front-end Angular Sênior,Senior(Mais de 6 anos de experiência),PJ," 15.000,00 "," 17.000,00"
272,Front-end,Desenvolvedor(a) Front-end Angular Pleno,Pleno - Senior(4 a 6 anos de experiência),PJ," 14.000,00 "," 16.000,00"
273,Front-end,Desenvolvedor(a) Front-end Magento (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
274,Back-end,Desenvolvedor(a) Back-end C#,Pleno - Senior(4 a 6 anos de experiência),,,
275,Back-end,Desenvolvedor(a) PL/SQL,Pleno - Senior(4 a 6 anos de experiência),,,
276,Full-stack,Desenvolvedor(a) Full-stack (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
277,Full-stack,Desenvolvedor(a) Full-stack Node.js Pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 13.000,00 "," 15.000,00"
278,Back-end,Desenvolvedor(a) Back-end sênior,Senior(Mais de 6 anos de experiência),CLT," 9.600,00 "," 10.600,00"
279,Full-stack,Desenvolvedor(a) .NET Full-stack pleno,Junior - Pleno(2 a 4 anos de experiência),,,
280,Full-stack,Desenvolvedor(a) Node.js,Junior - Pleno(2 a 4 anos de experiência),CLT," 11.000,00 "," 13.000,00"
281,Full-stack,Desenvolvedor(a) Node.js pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
282,Front-end,Desenvolvedor(a) Front-end Vue.js (Remoto),Senior(Mais de 6 anos de experiência),,,
283,Full-stack,Desenvolvedor(a) Full-stack pleno,Junior - Pleno(2 a 4 anos de experiência),,,
284,Back-end,Desenvolvedor(a) Back-end C# Sênior,Senior(Mais de 6 anos de experiência),PJ," 14.000,00 "," 16.000,00"
285,Front-end,Desenvolvedor(a) Front-end React (Remoto),Junior - Pleno(2 a 4 anos de experiência),,,
286,Front-end,Desenvolvedor(a) Front-end sênior React,Senior(Mais de 6 anos de experiência),,,
287,Front-end,Desenvolvedor(a) Front-end (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 3.000,00 "," 5.000,00"
288,Back-end,Desenvolvedor(a) Back-end pleno Node.js (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
289,Back-end,Desenvolvedor(a) Back-end Node.js,Senior(Mais de 6 anos de experiência),,,
290,Mobile,Especialista Mobile,Junior - Pleno(2 a 4 anos de experiência),,,
291,Back-end,Desenvolvedor(a) Back-end Java sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 9.600,00 "," 11.600,00"
292,Full-stack,Desenvolvedor(a) Full-stack .NET,Pleno - Senior(4 a 6 anos de experiência),CLT," 7.600,00 "," 8.500,00"
293,Front-end,Desenvolvedor(a) Front-end pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 6.000,00 "," 8.000,00"
294,Full-stack,Desenvolvedor(a) sênior Full-stack,Senior(Mais de 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
295,Front-end,Desenvolvedor(a) Front-end Linux,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.100,00 "," 10.000,00"
296,Mobile,Desenvolvedor(a) Mobile Swift (iOS) (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 13.400,00 "," 14.000,00"
297,Front-end,Desenvolvedor(a) Front-end React Pleno (Remoto),Junior - Pleno(2 a 4 anos de experiência),,,
298,Front-end,Desenvolvedor(a) Front-end React Sênior (Remoto),Senior(Mais de 6 anos de experiência),,,
299,Full-stack,Desenvolvedor(a) COBOL,Junior - Pleno(2 a 4 anos de experiência),,,
300,Front-end,Desenvolvedor(a) Front-end React (Remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 11.000,00 "," 13.000,00"
301,Full-stack,Programador Pleno,Pleno - Senior(4 a 6 anos de experiência),,,
302,Full-stack,Desenvolvedor(a) Solidity (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
303,Back-end,Programador Júnior,Junior - Pleno(2 a 4 anos de experiência),,,
304,Back-end,Desenvolvedor(a) Back-end pleno Node.js,Junior - Pleno(2 a 4 anos de experiência),PJ," 8.500,00 "," 10.500,00"
305,Back-end,Desenvolvedor(a) Back-end Ruby on Rails (Remoto),Senior(Mais de 6 anos de experiência),CLT," 10.500,00 "," 12.500,00"
306,Mobile,Desenvolvedor(a) Mobile React Native Pleno (Remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 5.500,00 "," 7.500,00"
307,Full-stack,Desenvolvedor(a) Python pleno,Junior - Pleno(2 a 4 anos de experiência),,,
308,Mobile,Desenvolvedor(a) Mobile,Senior(Mais de 6 anos de experiência),CLT," 10.800,00 "," 12.000,00"
309,Data Science,Cientista de Dados Machine learning,Pleno - Senior(4 a 6 anos de experiência),,,
310,Front-end,Desenvolvedor(a) Salesforce (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 11.600,00 "," 13.600,00"
311,Full-stack,Desenvolvedor(a) Full-stack .NET,Pleno - Senior(4 a 6 anos de experiência),CLT," 7.500,00 "," 9.500,00"
312,Back-end,Desenvolvedor(a) Back-end Java sênior,Senior(Mais de 6 anos de experiência),CLT," 10.000,00 "," 10.500,00"
313,Back-end,Desenvolvedor(a) Back-end - Microservices,Junior - Pleno(2 a 4 anos de experiência),CLT," 10.000,00 "," 11.000,00"
314,Full-stack,Desenvolvedor(a) Full-stack JavaScript Pleno (Remoto),Junior - Pleno(2 a 4 anos de experiência),,,
315,Data Science,Engenheiro(a) de Dados sênior SQL (remoto),Senior(Mais de 6 anos de experiência),CLT," 10.000,00 "," 12.000,00"
316,Full-stack,Desenvolvedor(a) Full-stack .NET Core,Junior - Pleno(2 a 4 anos de experiência),,,
317,Full-stack,Desenvolvedor(a) Full-stack Node.js,Pleno - Senior(4 a 6 anos de experiência),CLT," 4.000,00 "," 6.000,00"
318,Full-stack,Desenvolvedor(a) Full-stack Node.js,Junior - Pleno(2 a 4 anos de experiência),CLT," 3.900,00 "," 4.800,00"
319,Full-stack,Desenvolvedor(a) Full-stack AWS,Pleno - Senior(4 a 6 anos de experiência),,,
320,Full-stack,Desenvolvedor(a) Full-stack sênior AWS (remoto),Senior(Mais de 6 anos de experiência),CLT," 12.000,00 "," 14.000,00"
321,Full-stack,Desenvolvedor(a) Full-stack PHP (Remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 4.000,00 "," 6.000,00"
322,Back-end,Desenvolvedor(a) Back-end pleno Python,Junior - Pleno(2 a 4 anos de experiência),,,
323,Front-end,Desenvolvedor(a) Front-end,Junior - Pleno(2 a 4 anos de experiência),,,
324,Full-stack,Desenvolvedor(a) Node.js Full-stack pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 6.300,00 "," 8.300,00"
325,Full-stack,Desenvolvedor(a) Full-stack pleno React (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
326,Back-end,Desenvolvedor(a) Back-end Elixir pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 4.600,00 "," 6.500,00"
327,Back-end,Desenvolvedor(a) AWS sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 18.000,00 "," 20.000,00"
328,Back-end,Desenvolvedor(a) Arquitetura de software sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 18.000,00 "," 20.000,00"
329,Back-end,Desenvolvedor(a) Back-end Docker Sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 18.000,00 "," 20.000,00"
330,Full-stack,Desenvolvedor(a) Full-stack sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 15.000,00 "," 17.000,00"
331,Front-end,Desenvolvedor(a) Front-end sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 15.000,00 "," 17.000,00"
332,Full-stack,Desenvolvedor(a) Full-stack TypeScript Sênior (Remoto),Senior(Mais de 6 anos de experiência),,,
333,Back-end,Desenvolvedor(a) Back-end Ruby (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
334,Front-end,Desenvolvedor(a) pleno Front-end NextJS (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 2.000,00 "," 4.000,00"
335,Front-end,Desenvolvedor(a) Back-end Node.js,Senior(Mais de 6 anos de experiência),CLT," 6.500,00 "," 8.000,00"
336,Full-stack,Desenvolvedor(a) Full-stack ASP.NET Core Sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
337,Mobile,Desenvolvedor(a) Mobile sênior (remoto),Senior(Mais de 6 anos de experiência),CLT," 13.000,00 "," 15.000,00"
338,Front-end,Desenvolvedor(a) Front-end React sênior,Senior(Mais de 6 anos de experiência),CLT," 11.000,00 "," 13.000,00"
339,Full-stack,Desenvolvedor(a) Full-stack pleno PHP (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
340,Front-end,Desenvolvedor(a) Front-end Vue.js (Remoto),Pleno - Senior(4 a 6 anos de experiência),,,
341,Front-end,Desenvolvedor(a) Front-end Angular (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
342,Mobile,Desenvolvedor(a) Mobile Swift (iOS),Pleno - Senior(4 a 6 anos de experiência),CLT," 11.200,00 "," 13.000,00"
343,Full-stack,Desenvolvedor(a) Full-stack .NET Sênior (Remoto),Senior(Mais de 6 anos de experiência),PJ," 12.000,00 "," 14.000,00"
344,Full-stack,Desenvolvedor(a) Full-stack,Junior - Pleno(2 a 4 anos de experiência),CLT," 10.000,00 "," 12.000,00"
345,Back-end,Desenvolvedor(a) Back-end (remoto) Node.js,Junior - Pleno(2 a 4 anos de experiência),,,
346,Mobile,Desenvolvedor(a) Mobile (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 12.600,00 "," 12.900,00"
347,Front-end,Desenvolvedor(a) Front-end React (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.500,00 "," 10.500,00"
348,Back-end,Desenvolvedor(a) Back-end pleno Laravel (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 4.500,00 "," 5.500,00"
349,Mobile,Desenvolvedor(a) Mobile pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 11.000,00 "," 12.000,00"
350,Front-end,Desenvolvedor(a) Front-end sênior (remoto),Senior(Mais de 6 anos de experiência),PJ," 11.000,00 "," 13.000,00"
351,Back-end,Líder técnico Back End,Senior(Mais de 6 anos de experiência),CLT," 20.000,00 "," 20.000,00"
352,Full-stack,Desenvolvedor(a) Ruby on Rails Full-stack pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 7.100,00 "," 9.000,00"
353,Front-end,Desenvolvedor(a) Front-end React Sênior (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 7.000,00 "," 12.000,00"
354,Front-end,Desenvolvedor(a) PHP júnior (remoto),Junior(0 a 2 anos de experiência),CLT," 2.500,00 "," 3.500,00"
355,Full-stack,Desenvolvedor(a) Full-stack sênior .NET Core (remoto),Senior(Mais de 6 anos de experiência),CLT," 8.000,00 "," 9.000,00"
356,Back-end,Desenvolvedor(a) Back-end AWS,Pleno - Senior(4 a 6 anos de experiência),,,
357,Back-end,Desenvolvedor(a) Back-end Python (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
358,Back-end,Desenvolvedor(a) Apex (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 6.100,00 "," 8.100,00"
359,Mobile,Desenvolvedor(a) Mobile sênior,Senior(Mais de 6 anos de experiência),CLT," 10.500,00 "," 12.500,00"
360,Back-end,Desenvolvedor(a) Back-end Node.js (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 8.600,00 "," 10.600,00"
361,Full-stack,Desenvolvedor(a) Full-stack,Junior - Pleno(2 a 4 anos de experiência),PJ," 4.000,00 "," 5.800,00"
362,Back-end,Desenvolvedor(a) Back-end pleno,Pleno - Senior(4 a 6 anos de experiência),CLT," 4.500,00 "," 6.500,00"
363,Data Science,Analista de BI (remoto) Power BI,Junior(0 a 2 anos de experiência),PJ," 7.200,00 "," 9.000,00"
364,Back-end,Desenvolvedor(a) .NET (remoto),Junior - Pleno(2 a 4 anos de experiência),CLT," 4.000,00 "," 6.000,00"
365,Back-end,Desenvolvedor(a) Back-end Java pleno,Junior - Pleno(2 a 4 anos de experiência),,,
366,Full-stack,Desenvolvedor(a) Full-stack pleno,Junior - Pleno(2 a 4 anos de experiência),,,
367,Full-stack,Desenvolvedor(a) Full-stack,Pleno - Senior(4 a 6 anos de experiência),,,
368,Front-end,Desenvolvedor(a) Front-end JavaScript Pleno/ Sênior,Pleno - Senior(4 a 6 anos de experiência),CLT," 8.000,00 "," 10.000,00"
369,Data Science,Cientista de Dados (remoto) Python,Junior - Pleno(2 a 4 anos de experiência),PJ," 8.000,00 "," 10.000,00"
370,Full-stack,Desenvolvedor(a) Full-stack Django pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 11.000,00 "," 12.000,00"
371,Full-stack,Desenvolvedor(a) Full-stack Java (20),Junior - Pleno(2 a 4 anos de experiência),CLT," 4.800,00 "," 6.800,00"
372,Back-end,Desenvolvedor(a) Back-end C# (remoto),Pleno - Senior(4 a 6 anos de experiência),,,
373,Mobile,Desenvolvedor(a) Mobile,Pleno - Senior(4 a 6 anos de experiência),CLT," 7.000,00 "," 9.000,00"
